employee_id,name,department,position,salary,hire_date,status,performance_score,satisfaction_rating
EMP-1030,Employee 30,Product,Account Executive,97331,2023-06-11,Resigned,3.4,3
EMP-1031,Employee 31,Engineering,Account Executive,113444,2020-05-01,Resigned,4.8,1
EMP-1032,Employee 32,Customer Support,Financial Analyst,79753,2022-12-13,Active,4.4,4
EMP-1033,Employee 33,Engineering,Financial Analyst,94776,2023-04-15,Active,3.3,2
EMP-1034,Employee 34,Customer Support,Staff Engineer,152544,2022-06-13,Active,3.3,5
EMP-1035,Employee 35,Customer Support,Financial Analyst,89630,2023-06-10,Resigned,4.2,2
EMP-1036,Employee 36,Sales,HR Specialist,58345,2022-02-13,Active,4.5,5
EMP-1037,Employee 37,Customer Support,Software Engineer,86932,2022-03-12,On Leave,3.6,5
EMP-1038,Employee 38,Finance,Product Manager,107517,2021-03-28,Active,3.7,1
EMP-1039,Employee 39,Sales,Financial Analyst,86002,2021-05-02,Resigned,4.8,1
EMP-1040,Employee 40,Finance,Financial Analyst,104270,2023-10-04,Active,3.5,2
EMP-1041,Employee 41,Sales,HR Specialist,57080,2020-05-18,Resigned,3.0,4
EMP-1042,Employee 42,Finance,Support Specialist,60901,2022-06-16,Active,4.0,4
EMP-1043,Employee 43,Human Resources,Support Specialist,56647,2021-12-20,Active,4.6,5
EMP-1044,Employee 44,Customer Support,Marketing Lead,85659,2023-08-26,Active,3.1,1
EMP-1045,Employee 45,Engineering,Financial Analyst,92113,2021-08-26,Active,3.1,2
EMP-1046,Employee 46,Product,Product Manager,110851,2022-02-07,Active,3.7,5
EMP-1047,Employee 47,Finance,Software Engineer,103267,2022-09-15,Resigned,3.3,4
EMP-1048,Employee 48,Engineering,Product Manager,96698,2020-11-17,Active,4.9,4
EMP-1049,Employee 49,Finance,VP,127384,2023-02-08,Resigned,3.6,2
EMP-1050,Employee 50,Engineering,Support Specialist,87471,2020-07-15,On Leave,4.7,2
EMP-1051,Employee 51,Sales,Software Engineer,103023,2020-04-21,Active,3.6,5
EMP-1052,Employee 52,Product,Product Manager,76686,2022-09-10,Active,3.3,3
EMP-1053,Employee 53,Marketing,Product Manager,95208,2020-06-16,Active,3.9,3
EMP-1054,Employee 54,Finance,VP,135396,2020-07-05,Active,3.7,4
EMP-1055,Employee 55,Product,Staff Engineer,112924,2022-01-26,Active,3.9,3
EMP-1056,Employee 56,Customer Support,HR Specialist,86978,2021-04-08,Active,3.3,1
EMP-1057,Employee 57,Finance,Financial Analyst,110484,2020-06-24,Active,4.9,5
EMP-1058,Employee 58,Human Resources,Software Engineer,100369,2021-04-10,On Leave,3.8,5
EMP-1059,Employee 59,Human Resources,Marketing Lead,106212,2022-08-30,Active,3.2,1
EMP-1060,Employee 60,Human Resources,VP,147452,2022-10-25,Resigned,5.0,2
EMP-1061,Employee 61,Customer Support,Staff Engineer,121329,2020-09-03,Active,4.9,2
EMP-1062,Employee 62,Engineering,Support Specialist,55135,2020-09-15,Resigned,3.9,2
EMP-1063,Employee 63,Sales,Financial Analyst,79391,2023-05-03,Active,3.8,4
EMP-1064,Employee 64,Sales,HR Specialist,84058,2023-02-04,Active,4.8,1
EMP-1065,Employee 65,Human Resources,VP,137498,2023-06-30,Active,3.8,2
EMP-1066,Employee 66,Human Resources,Product Manager,81922,2023-03-06,On Leave,4.6,3
EMP-1067,Employee 67,Sales,Support Specialist,67310,2023-01-01,Active,4.3,5
EMP-1068,Employee 68,Marketing,Software Engineer,86285,2023-06-01,Active,3.8,5
EMP-1069,Employee 69,Finance,Support Specialist,52541,2023-05-31,Active,4.8,3
EMP-1070,Employee 70,Engineering,Staff Engineer,127601,2021-05-01,Active,3.0,3
EMP-1071,Employee 71,Sales,Staff Engineer,154882,2021-09-28,Active,4.9,2
EMP-1072,Employee 72,Sales,Staff Engineer,131028,2020-10-02,Active,4.5,5
EMP-1073,Employee 73,Engineering,Marketing Lead,103948,2023-08-15,Active,4.8,4
EMP-1074,Employee 74,Customer Support,VP,134504,2022-09-19,Active,4.0,2
EMP-1075,Employee 75,Sales,VP,136436,2020-05-14,Active,4.6,5
EMP-1076,Employee 76,Engineering,Account Executive,87632,2023-03-10,Active,4.7,2
EMP-1077,Employee 77,Marketing,Software Engineer,98617,2020-03-08,Resigned,3.4,3
EMP-1078,Employee 78,Human Resources,Support Specialist,91642,2022-08-08,Active,4.4,2
EMP-1079,Employee 79,Marketing,Staff Engineer,121638,2022-02-01,Active,4.2,3
EMP-1080,Employee 80,Product,HR Specialist,55923,2021-12-06,Active,3.1,1
EMP-1081,Employee 81,Customer Support,Marketing Lead,89506,2020-11-29,Resigned,3.5,2
EMP-1082,Employee 82,Finance,Support Specialist,83638,2021-07-05,Active,4.7,1
EMP-1083,Employee 83,Product,Account Executive,114396,2022-08-28,Active,3.4,5
EMP-1084,Employee 84,Finance,HR Specialist,77774,2021-09-17,Active,4.7,4
EMP-1085,Employee 85,Product,Staff Engineer,129801,2021-05-31,Resigned,4.0,5
EMP-1086,Employee 86,Human Resources,Product Manager,75481,2022-03-24,On Leave,5.0,3
EMP-1087,Employee 87,Finance,HR Specialist,69560,2023-02-23,Resigned,3.2,1
EMP-1088,Employee 88,Sales,Financial Analyst,93145,2021-11-19,Active,4.3,3
EMP-1089,Employee 89,Product,VP,125748,2021-01-20,Active,4.6,5
EMP-1090,Employee 90,Finance,Financial Analyst,119614,2022-04-07,Active,4.4,4
EMP-1091,Employee 91,Sales,Support Specialist,76515,2021-08-28,Active,4.5,5
EMP-1092,Employee 92,Customer Support,Marketing Lead,97489,2023-03-17,Resigned,4.4,5
EMP-1093,Employee 93,Customer Support,Staff Engineer,154031,2023-07-31,Active,4.0,2
EMP-1094,Employee 94,Human Resources,Account Executive,94253,2023-09-08,Active,3.9,3
EMP-1095,Employee 95,Customer Support,Account Executive,119545,2023-02-18,Active,4.3,2
EMP-1096,Employee 96,Product,HR Specialist,77556,2021-12-28,Active,3.7,5
EMP-1097,Employee 97,Marketing,Product Manager,105837,2021-08-25,Active,4.7,5
EMP-1098,Employee 98,Human Resources,Product Manager,105947,2023-04-03,Active,4.0,4
EMP-1099,Employee 99,Sales,Support Specialist,53543,2022-12-21,Active,3.3,2
EMP-1100,Employee 100,Marketing,Staff Engineer,119386,2021-12-02,Active,4.7,2
