date,product,category,region,quantity,unit_price,revenue,cost,profit,customer_id,payment_method
2023-02-28 12:24:31.743486974,Webcam 4K,Electronics,Middle East,21,39.88,837.48,420.23,417.25,CUST-3116,Bank Transfer
2023-03-01 23:31:08.537074148,Fast Charger 65W,Electronics,Europe,9,280.4,2523.6,1440.55,1083.05,CUST-7229,Credit Card
2023-03-03 10:37:45.330661322,Keyboard Mechanical,Peripherals,Asia Pacific,39,629.41,24546.99,16354.14,8192.85,CUST-9725,Bank Transfer
2023-03-04 21:44:22.124248497,Laptop Pro,Peripherals,Latin America,18,362.96,6533.28,3704.48,2828.8,CUST-4770,PayPal
2023-03-06 08:50:58.917835671,Tablet Air,Accessories,Latin America,4,283.9,1135.6,699.81,435.79,CUST-9196,Stripe
2023-03-07 19:57:35.711422845,Phone Case,Electronics,North America,25,376.01,9400.25,6031.15,3369.1,CUST-6802,Credit Card
2023-03-09 07:04:12.505010020,Wireless Mouse,Peripherals,North America,14,380.71,5329.94,3712.94,1617.0,CUST-2180,Bank Transfer
2023-03-10 18:10:49.298597194,Headset Pro,Electronics,Middle East,9,479.6,4316.4,2507.65,1808.75,CUST-7505,Stripe
2023-03-12 05:17:26.092184368,Wireless Mouse,Electronics,Europe,26,96.08,2498.08,1603.9,894.18,CUST-1693,PayPal
2023-03-13 16:24:02.885771543,Phone Case,Accessories,Europe,2,173.76,347.52,239.37,108.15,CUST-8147,PayPal
2023-03-15 03:30:39.679358717,Keyboard Mechanical,Electronics,Asia Pacific,20,383.65,7673.0,5243.14,2429.86,CUST-1307,Credit Card
2023-03-16 14:37:16.472945892,Fast Charger 65W,Accessories,Middle East,28,565.62,15837.36,7005.25,8832.11,CUST-8532,Credit Card
2023-03-18 01:43:53.266533066,Webcam 4K,Peripherals,North America,47,371.79,17474.13,9120.06,8354.07,CUST-2275,Bank Transfer
2023-03-19 12:50:30.060120240,Fast Charger 65W,Peripherals,Middle East,7,166.51,1165.57,579.52,586.05,CUST-6129,Stripe
2023-03-20 23:57:06.853707415,"Monitor 27""",Peripherals,Latin America,44,446.7,19654.8,8374.47,11280.33,CUST-8033,Stripe
2023-03-22 11:03:43.647294589,Wireless Mouse,Peripherals,North America,8,484.84,3878.72,2288.34,1590.38,CUST-7626,PayPal
2023-03-23 22:10:20.440881763,Laptop Pro,Accessories,Europe,47,166.28,7815.16,4851.43,2963.73,CUST-7843,PayPal
2023-03-25 09:16:57.234468938,"Monitor 27""",Accessories,North America,35,254.86,8920.1,5837.66,3082.44,CUST-5743,Bank Transfer
2023-03-26 20:23:34.028056112,Keyboard Mechanical,Peripherals,Latin America,14,354.3,4960.2,2166.78,2793.42,CUST-2887,Bank Transfer
2023-03-28 07:30:10.821643286,Wireless Mouse,Peripherals,North America,17,330.32,5615.44,3722.66,1892.78,CUST-7636,PayPal
2023-03-29 18:36:47.615230461,"Monitor 27""",Peripherals,Europe,36,262.41,9446.76,5600.77,3845.99,CUST-1341,PayPal
2023-03-31 05:43:24.408817635,Wireless Mouse,Accessories,Latin America,40,204.0,8160.0,4987.26,3172.74,CUST-6321,Stripe
2023-04-01 16:50:01.202404809,Headset Pro,Peripherals,Asia Pacific,4,78.49,313.96,211.35,102.61,CUST-3815,Stripe
2023-04-03 03:56:37.995991984,Keyboard Mechanical,Accessories,Middle East,2,48.96,97.92,57.52,40.4,CUST-8538,Stripe
2023-04-04 15:03:14.789579158,Tablet Air,Electronics,Asia Pacific,6,623.67,3742.02,1873.85,1868.17,CUST-6928,Bank Transfer
2023-04-06 02:09:51.583166332,Webcam 4K,Peripherals,Latin America,42,552.94,23223.48,15037.95,8185.53,CUST-2443,Stripe
2023-04-07 13:16:28.376753507,USB Hub,Accessories,Latin America,4,240.36,961.44,489.29,472.15,CUST-8155,Credit Card
2023-04-09 00:23:05.170340681,Webcam 4K,Accessories,Latin America,29,622.57,18054.53,7407.2,10647.33,CUST-2734,Credit Card
2023-04-10 11:29:41.963927855,Webcam 4K,Accessories,Europe,18,444.75,8005.5,5197.14,2808.36,CUST-4986,Stripe
2023-04-11 22:36:18.757515030,"Monitor 27""",Electronics,Latin America,26,321.4,8356.4,4207.93,4148.47,CUST-8138,Stripe
2023-04-13 09:42:55.551102204,Keyboard Mechanical,Peripherals,,44,328.07,14435.08,9125.14,5309.94,CUST-7560,PayPal
2023-04-14 20:49:32.344689378,Wireless Mouse,Accessories,Europe,34,67.89,2308.26,1174.51,1133.75,CUST-9584,PayPal
2023-04-16 07:56:09.138276552,Fast Charger 65W,Peripherals,Latin America,10,73.23,732.3,482.09,250.21,CUST-2288,Bank Transfer
2023-04-17 19:02:45.931863728,USB Hub,Accessories,Europe,36,397.55,14311.8,6667.2,7644.6,CUST-7484,Credit Card
2023-04-19 06:09:22.725450902,Phone Case,Peripherals,Middle East,14,366.6,5132.4,3553.49,1578.91,CUST-6083,Credit Card
2023-04-20 17:15:59.519038076,"Monitor 27""",Electronics,Middle East,31,150.08,4652.48,2949.34,1703.14,CUST-6562,Bank Transfer
2023-04-22 04:22:36.312625250,USB Hub,Accessories,Europe,48,615.83,29559.84,12836.99,16722.85,CUST-4630,Stripe
2023-04-23 15:29:13.106212424,Tablet Air,Accessories,,15,511.12,7666.8,4368.03,3298.77,CUST-6456,Stripe
2023-04-25 02:35:49.899799598,Headset Pro,Electronics,Asia Pacific,8,87.05,696.4,484.42,211.98,CUST-3754,Bank Transfer
2023-04-26 13:42:26.693386774,Keyboard Mechanical,Peripherals,Latin America,14,606.14,8485.96,4593.62,3892.34,CUST-2251,Credit Card
2023-04-28 00:49:03.486973948,Phone Case,Accessories,Asia Pacific,23,633.65,14573.95,6625.79,7948.16,CUST-9363,Credit Card
2023-04-29 11:55:40.280561122,"Monitor 27""",Electronics,Middle East,40,647.42,25896.8,14124.98,11771.82,CUST-2868,Stripe
2023-04-30 23:02:17.074148296,Webcam 4K,Accessories,Asia Pacific,21,50.48,1060.08,587.01,473.07,CUST-9693,PayPal
2023-05-02 10:08:53.867735470,Laptop Pro,Accessories,North America,16,483.02,7728.32,4810.93,2917.39,CUST-9355,Bank Transfer
2023-05-03 21:15:30.661322644,"Monitor 27""",Accessories,Asia Pacific,45,361.66,16274.7,9921.93,6352.77,CUST-4176,Bank Transfer
2023-05-05 08:22:07.454909820,Laptop Pro,Peripherals,Asia Pacific,18,463.2,8337.6,4341.93,3995.67,CUST-6724,Stripe
2023-05-06 19:28:44.248496994,Webcam 4K,Electronics,Middle East,47,630.09,29614.23,13782.67,15831.56,CUST-6752,Bank Transfer
2023-05-08 06:35:21.042084168,Headset Pro,Electronics,Middle East,24,451.9,10845.6,6437.04,4408.56,CUST-3419,Credit Card
2023-05-09 17:41:57.835671342,Keyboard Mechanical,Electronics,Latin America,26,546.47,14208.22,7480.79,6727.43,CUST-4871,Stripe
2023-05-11 04:48:34.629258516,Wireless Mouse,Electronics,Europe,25,565.46,14136.5,6215.58,7920.92,CUST-2684,Credit Card
2023-05-12 15:55:11.422845690,"Monitor 27""",Accessories,Latin America,45,547.44,24634.8,16509.55,8125.25,CUST-3399,PayPal
2023-05-14 03:01:48.216432866,Fast Charger 65W,Peripherals,Middle East,41,285.57,11708.37,7111.27,4597.1,CUST-5193,Bank Transfer
2023-05-15 14:08:25.010020040,Webcam 4K,Electronics,Latin America,29,156.34,4533.86,2742.78,1791.08,CUST-4232,Bank Transfer
2023-05-17 01:15:01.803607214,"Monitor 27""",Peripherals,Asia Pacific,15,266.87,4003.05,2589.07,1413.98,CUST-3842,Credit Card
2023-05-18 12:21:38.597194388,Tablet Air,Electronics,Asia Pacific,45,581.35,26160.75,14621.2,11539.55,CUST-3504,Stripe
2023-05-19 23:28:15.390781562,Headset Pro,Electronics,Middle East,1,108.09,108.09,69.67,38.42,CUST-2234,Stripe
2023-05-21 10:34:52.184368736,Tablet Air,Accessories,Middle East,25,340.96,8524.0,4683.32,3840.68,CUST-3902,Bank Transfer
2023-05-22 21:41:28.977955912,USB Hub,Accessories,Latin America,7,163.1,1141.7,479.69,662.01,CUST-9095,Credit Card
2023-05-24 08:48:05.771543086,Keyboard Mechanical,Accessories,Latin America,9,384.13,3457.17,1803.17,1654.0,CUST-8601,PayPal
2023-05-25 19:54:42.565130260,USB Hub,Peripherals,Asia Pacific,24,563.09,13514.16,7422.51,6091.65,CUST-8354,Credit Card
2023-05-27 07:01:19.358717434,"Monitor 27""",Accessories,Europe,1,574.03,574.03,353.64,220.39,CUST-6295,Stripe
2023-05-28 18:07:56.152304608,Phone Case,Accessories,Europe,44,165.3,7273.2,3141.83,4131.37,CUST-6179,Bank Transfer
2023-05-30 05:14:32.945891784,Phone Case,Electronics,Middle East,8,591.39,4731.12,2091.18,2639.94,CUST-3473,Bank Transfer
2023-05-31 16:21:09.739478958,Keyboard Mechanical,Electronics,Latin America,24,390.85,9380.4,4494.2,4886.2,CUST-8205,Bank Transfer
2023-06-02 03:27:46.533066132,Fast Charger 65W,Accessories,Europe,11,237.39,2611.29,1253.29,1358.0,CUST-2118,PayPal
2023-06-03 14:34:23.326653306,Headset Pro,Accessories,Latin America,17,464.7,7899.9,4895.22,3004.68,CUST-8682,PayPal
2023-06-05 01:41:00.120240480,Fast Charger 65W,Peripherals,North America,8,320.86,2566.88,1219.83,1347.05,CUST-8245,Stripe
2023-06-06 12:47:36.913827654,Headset Pro,Peripherals,Asia Pacific,35,255.02,8925.7,5265.53,3660.17,CUST-5961,Credit Card
2023-06-07 23:54:13.707414830,Webcam 4K,Electronics,Latin America,35,462.73,16195.55,8879.73,7315.82,CUST-5500,Credit Card
2023-06-09 11:00:50.501002004,"Monitor 27""",Peripherals,Latin America,33,172.94,5707.02,3264.35,2442.67,CUST-1920,Credit Card
2023-06-10 22:07:27.294589178,USB Hub,Accessories,Latin America,5,224.71,1123.55,731.92,391.63,CUST-6766,PayPal
2023-06-12 09:14:04.088176352,Phone Case,Accessories,,42,290.88,12216.96,6368.88,5848.08,CUST-9312,Bank Transfer
2023-06-13 20:20:40.881763526,Tablet Air,Electronics,Latin America,39,176.09,6867.51,4335.28,2532.23,CUST-2215,Stripe
2023-06-15 07:27:17.675350700,Wireless Mouse,Accessories,North America,41,272.3,11164.3,5879.24,5285.06,CUST-6085,Stripe
2023-06-16 18:33:54.468937876,Laptop Pro,Accessories,Europe,28,377.89,10580.92,5355.65,5225.27,CUST-8565,PayPal
2023-06-18 05:40:31.262525050,Wireless Mouse,Accessories,Middle East,7,485.52,3398.64,2336.86,1061.78,CUST-8404,PayPal
2023-06-19 16:47:08.056112224,USB Hub,Accessories,Middle East,9,502.17,4519.53,2057.79,2461.74,CUST-1616,Bank Transfer
2023-06-21 03:53:44.849699398,USB Hub,Peripherals,Asia Pacific,8,537.47,4299.76,1836.43,2463.33,CUST-1932,Bank Transfer
2023-06-22 15:00:21.643286572,Headset Pro,Peripherals,,12,487.57,5850.84,3693.61,2157.23,CUST-7041,PayPal
2023-06-24 02:06:58.436873746,Fast Charger 65W,Peripherals,Latin America,34,447.46,15213.64,6396.95,8816.69,CUST-5703,Stripe
2023-06-25 13:13:35.230460922,Wireless Mouse,Peripherals,North America,33,165.82,5472.06,3562.99,1909.07,CUST-2257,Bank Transfer
2023-06-27 00:20:12.024048096,Headset Pro,Peripherals,Middle East,48,269.14,12918.72,6861.88,6056.84,CUST-2479,Bank Transfer
2023-06-28 11:26:48.817635270,Headset Pro,Electronics,Latin America,23,318.35,7322.05,4939.85,2382.2,CUST-9307,Stripe
2023-06-29 22:33:25.611222444,Fast Charger 65W,Accessories,North America,24,67.64,1623.36,1000.74,622.62,CUST-7299,Bank Transfer
2023-07-01 09:40:02.404809618,Tablet Air,Electronics,Europe,37,350.52,12969.24,7562.64,5406.6,CUST-8581,Stripe
2023-07-02 20:46:39.198396792,Phone Case,Accessories,Latin America,35,292.07,10222.45,7000.25,3222.2,CUST-1672,Credit Card
2023-07-04 07:53:15.991983968,Keyboard Mechanical,Accessories,Europe,44,524.34,23070.96,11973.71,11097.25,CUST-8368,Bank Transfer
2023-07-05 18:59:52.785571142,Phone Case,Accessories,North America,40,635.97,25438.8,17456.77,7982.03,CUST-4084,Bank Transfer
2023-07-07 06:06:29.579158316,Laptop Pro,Electronics,Latin America,22,368.06,8097.32,3566.87,4530.45,CUST-6267,Credit Card
2023-07-08 17:13:06.372745490,Wireless Mouse,Accessories,Asia Pacific,27,219.91,5937.57,3236.73,2700.84,CUST-8792,Stripe
2023-07-10 04:19:43.166332664,Phone Case,Accessories,Asia Pacific,35,42.56,1489.6,716.46,773.14,CUST-9214,Bank Transfer
2023-07-11 15:26:19.959919840,Keyboard Mechanical,Peripherals,Middle East,1,602.15,602.15,338.38,263.77,CUST-3471,Credit Card
2023-07-13 02:32:56.753507014,Webcam 4K,Peripherals,Latin America,35,598.64,20952.4,9399.33,11553.07,CUST-2013,Stripe
2023-07-14 13:39:33.547094188,Wireless Mouse,Accessories,North America,37,175.65,6499.05,4240.36,2258.69,CUST-8381,Bank Transfer
2023-07-16 00:46:10.340681362,Keyboard Mechanical,Peripherals,Asia Pacific,47,456.59,21459.73,14033.0,7426.73,CUST-2695,PayPal
2023-07-17 11:52:47.134268536,Headset Pro,Electronics,Middle East,14,62.9,880.6,604.59,276.01,CUST-6626,Credit Card
2023-07-18 22:59:23.927855710,USB Hub,Accessories,Latin America,3,120.55,361.65,161.44,200.21,CUST-2381,Stripe
2023-07-20 10:06:00.721442886,Tablet Air,Electronics,Asia Pacific,1,152.67,152.67,89.62,63.05,CUST-9266,PayPal
2023-07-21 21:12:37.515030060,Laptop Pro,Peripherals,Latin America,5,202.0,1010.0,547.69,462.31,CUST-3827,Stripe
2023-07-23 08:19:14.308617234,Keyboard Mechanical,Peripherals,Middle East,26,647.35,16831.1,8471.35,8359.75,CUST-1641,PayPal
2023-07-24 19:25:51.102204408,Phone Case,Electronics,North America,14,457.55,6405.7,3237.84,3167.86,CUST-5059,PayPal
2023-07-26 06:32:27.895791582,USB Hub,Accessories,Middle East,39,258.97,10099.83,5290.68,4809.15,CUST-8172,Credit Card
2023-07-27 17:39:04.689378756,Phone Case,Peripherals,North America,27,483.06,13042.62,7975.27,5067.35,CUST-8199,Credit Card
2023-07-29 04:45:41.482965932,Wireless Mouse,Peripherals,Europe,9,596.19,5365.71,3109.35,2256.36,CUST-9586,PayPal
2023-07-30 15:52:18.276553104,Keyboard Mechanical,Peripherals,Asia Pacific,15,623.78,9356.7,5033.01,4323.69,CUST-9564,Credit Card
2023-08-01 02:58:55.070140280,Phone Case,Electronics,Europe,15,51.74,776.1,328.12,447.98,CUST-3600,Stripe
2023-08-02 14:05:31.863727456,Fast Charger 65W,Electronics,North America,26,265.52,6903.52,2922.46,3981.06,CUST-6962,Bank Transfer
2023-08-04 01:12:08.657314628,"Monitor 27""",Peripherals,Latin America,42,82.79,3477.18,1393.31,2083.87,CUST-7108,Stripe
2023-08-05 12:18:45.450901804,USB Hub,Accessories,North America,13,228.14,2965.82,2047.33,918.49,CUST-5634,PayPal
2023-08-06 23:25:22.244488976,Webcam 4K,Electronics,North America,32,122.75,3928.0,1577.39,2350.61,CUST-7347,Stripe
2023-08-08 10:31:59.038076152,USB Hub,Accessories,Latin America,39,425.75,16604.25,7155.24,9449.01,CUST-7697,PayPal
2023-08-09 21:38:35.831663324,Phone Case,Electronics,Europe,49,261.55,12815.95,6335.94,6480.01,CUST-6543,Stripe
2023-08-11 08:45:12.625250500,Phone Case,Electronics,Asia Pacific,32,160.67,5141.44,3301.98,1839.46,CUST-1857,Stripe
2023-08-12 19:51:49.418837676,Laptop Pro,Accessories,North America,4,183.87,735.48,506.47,229.01,CUST-6482,Credit Card
2023-08-14 06:58:26.212424848,Fast Charger 65W,Accessories,North America,30,243.82,7314.6,4659.43,2655.17,CUST-2079,PayPal
2023-08-15 18:05:03.006012024,Webcam 4K,Accessories,Asia Pacific,37,180.07,6662.59,4045.31,2617.28,CUST-6401,PayPal
2023-08-17 05:11:39.799599196,Tablet Air,Electronics,North America,23,302.81,6964.63,3875.05,3089.58,CUST-2548,Bank Transfer
2023-08-18 16:18:16.593186372,Laptop Pro,Accessories,Asia Pacific,39,35.52,1385.28,590.15,795.13,CUST-7333,Stripe
2023-08-20 03:24:53.386773548,Wireless Mouse,Accessories,Asia Pacific,45,192.65,8669.25,5959.69,2709.56,CUST-5655,Stripe
2023-08-21 14:31:30.180360720,Webcam 4K,Accessories,Asia Pacific,15,276.12,4141.8,2599.05,1542.75,CUST-5128,Bank Transfer
2023-08-23 01:38:06.973947896,Keyboard Mechanical,Accessories,Latin America,43,397.77,17104.11,10120.24,6983.87,CUST-3463,PayPal
2023-08-24 12:44:43.767535068,"Monitor 27""",Accessories,Europe,29,187.06,5424.74,3405.17,2019.57,CUST-6461,Stripe
2023-08-25 23:51:20.561122244,Laptop Pro,Accessories,Europe,36,99.57,3584.52,2212.48,1372.04,CUST-2335,Bank Transfer
2023-08-27 10:57:57.354709420,"Monitor 27""",Accessories,Middle East,13,63.39,824.07,487.17,336.9,CUST-3317,Bank Transfer
2023-08-28 22:04:34.148296592,Fast Charger 65W,Electronics,Latin America,32,612.24,19591.68,13600.02,5991.66,CUST-6731,Bank Transfer
2023-08-30 09:11:10.941883768,Wireless Mouse,Accessories,Middle East,7,279.57,1956.99,1313.16,643.83,CUST-6082,Stripe
2023-08-31 20:17:47.735470940,Wireless Mouse,Electronics,Europe,22,384.04,8448.88,5018.63,3430.25,CUST-7421,PayPal
2023-09-02 07:24:24.529058116,Tablet Air,Peripherals,Europe,28,598.68,16763.04,10191.13,6571.91,CUST-3112,PayPal
2023-09-03 18:31:01.322645288,Wireless Mouse,Peripherals,Europe,2,67.55,135.1,56.13,78.97,CUST-2388,Bank Transfer
2023-09-05 05:37:38.116232464,Phone Case,Electronics,North America,42,571.68,24010.56,14429.75,9580.81,CUST-6072,Bank Transfer
2023-09-06 16:44:14.909819640,USB Hub,Accessories,Middle East,45,365.26,16436.7,6792.46,9644.24,CUST-7171,PayPal
2023-09-08 03:50:51.703406812,USB Hub,Electronics,Latin America,6,119.67,718.02,413.92,304.1,CUST-6381,Bank Transfer
2023-09-09 14:57:28.496993988,Tablet Air,Peripherals,Middle East,28,276.15,7732.2,5411.04,2321.16,CUST-3093,Bank Transfer
2023-09-11 02:04:05.290581160,Phone Case,Electronics,Europe,28,508.78,14245.84,8073.72,6172.12,CUST-9624,PayPal
2023-09-12 13:10:42.084168336,USB Hub,Peripherals,Latin America,44,320.04,14081.76,7631.79,6449.97,CUST-2531,Stripe
2023-09-14 00:17:18.877755512,Keyboard Mechanical,Electronics,Middle East,44,640.66,28189.04,13921.34,14267.7,CUST-7937,Bank Transfer
2023-09-15 11:23:55.671342684,Phone Case,Electronics,Europe,20,254.23,5084.6,2217.68,2866.92,CUST-9331,Stripe
2023-09-16 22:30:32.464929860,Fast Charger 65W,Electronics,Europe,30,490.98,14729.4,9122.02,5607.38,CUST-6928,Bank Transfer
2023-09-18 09:37:09.258517032,Headset Pro,Electronics,Latin America,11,264.55,2910.05,1332.16,1577.89,CUST-1298,Bank Transfer
2023-09-19 20:43:46.052104208,"Monitor 27""",Electronics,Asia Pacific,28,541.52,15162.56,6589.42,8573.14,CUST-6940,Bank Transfer
2023-09-21 07:50:22.845691380,Phone Case,Peripherals,Latin America,25,376.37,9409.25,4954.24,4455.01,CUST-6060,Credit Card
2023-09-22 18:56:59.639278556,"Monitor 27""",Electronics,Asia Pacific,39,55.33,2157.87,1378.02,779.85,CUST-3953,Stripe
2023-09-24 06:03:36.432865732,Keyboard Mechanical,Electronics,North America,33,38.38,1266.54,789.71,476.83,CUST-4509,Stripe
2023-09-25 17:10:13.226452904,Headset Pro,Electronics,Latin America,1,100.0,100.0,41.65,58.35,CUST-6598,Bank Transfer
2023-09-27 04:16:50.020040080,Webcam 4K,Accessories,Asia Pacific,27,23.68,639.36,343.04,296.32,CUST-8967,PayPal
2023-09-28 15:23:26.813627252,Tablet Air,Peripherals,Middle East,13,62.85,817.05,454.88,362.17,CUST-4145,Bank Transfer
2023-09-30 02:30:03.607214428,Phone Case,Electronics,Europe,41,454.24,18623.84,11050.72,7573.12,CUST-4711,Credit Card
2023-10-01 13:36:40.400801604,Tablet Air,Peripherals,North America,3,354.31,1062.93,632.5,430.43,CUST-3253,Bank Transfer
2023-10-03 00:43:17.194388776,Wireless Mouse,Electronics,Latin America,39,491.19,19156.41,9758.45,9397.96,CUST-3538,Credit Card
2023-10-04 11:49:53.987975952,"Monitor 27""",Accessories,Asia Pacific,6,594.86,3569.16,2028.01,1541.15,CUST-2264,Bank Transfer
2023-10-05 22:56:30.781563124,"Monitor 27""",Peripherals,Middle East,8,386.57,3092.56,1683.34,1409.22,CUST-5846,Stripe
2023-10-07 10:03:07.575150300,Wireless Mouse,Accessories,,27,476.09,12854.43,8554.62,4299.81,CUST-2657,Bank Transfer
2023-10-08 21:09:44.368737472,Webcam 4K,Accessories,Latin America,9,495.75,4461.75,2494.47,1967.28,CUST-9317,Stripe
2023-10-10 08:16:21.162324648,Laptop Pro,Electronics,Asia Pacific,37,254.94,9432.78,5021.16,4411.62,CUST-9843,PayPal
2023-10-11 19:22:57.955911824,Fast Charger 65W,Peripherals,Latin America,33,168.09,5546.97,2891.89,2655.08,CUST-9626,PayPal
2023-10-13 06:29:34.749498996,Phone Case,Peripherals,Asia Pacific,42,145.2,6098.4,3486.63,2611.77,CUST-1618,Bank Transfer
2023-10-14 17:36:11.543086172,"Monitor 27""",Peripherals,Europe,44,174.67,7685.48,4927.88,2757.6,CUST-6517,Bank Transfer
2023-10-16 04:42:48.336673344,Fast Charger 65W,Peripherals,Latin America,24,189.45,4546.8,2553.12,1993.68,CUST-3147,PayPal
2023-10-17 15:49:25.130260520,"Monitor 27""",Electronics,Latin America,15,146.59,2198.85,1316.0,882.85,CUST-7172,Credit Card
2023-10-19 02:56:01.923847696,Laptop Pro,Electronics,North America,32,572.67,18325.44,11386.64,6938.8,CUST-3527,PayPal
2023-10-20 14:02:38.717434868,Wireless Mouse,Accessories,Europe,32,495.69,15862.08,8820.12,7041.96,CUST-3658,PayPal
