date,category,type,amount,description,department
2023-10-10 04:26:13.109243696,Cloud Infrastructure,Expense,2230.29,Transaction for Cloud Infrastructure,Sales
2023-10-16 07:39:49.915966384,Office & Legal,Expense,16068.91,Transaction for Office & Legal,Sales
2023-10-22 10:53:26.722689076,Payroll,Expense,715.42,Transaction for Payroll,Executive
2023-10-28 14:07:03.529411764,SaaS Subscriptions,Revenue,17597.28,Transaction for SaaS Subscriptions,Sales
2023-11-03 17:20:40.336134452,SaaS Subscriptions,Revenue,2692.78,Transaction for SaaS Subscriptions,Operations
2023-11-09 20:34:17.142857144,Consulting Services,Revenue,18594.38,Transaction for Consulting Services,Sales
2023-11-15 23:47:53.949579832,Cloud Infrastructure,Expense,9701.72,Transaction for Cloud Infrastructure,Sales
2023-11-22 03:01:30.756302520,Marketing,Expense,9454.42,Transaction for Marketing,Marketing
2023-11-28 06:15:07.563025208,Payroll,Expense,3398.5,Transaction for Payroll,Engineering
2023-12-04 09:28:44.369747900,Hardware,Expense,11800.46,Transaction for Hardware,Sales
2023-12-10 12:42:21.176470588,SaaS Subscriptions,Revenue,3447.86,Transaction for SaaS Subscriptions,Operations
2023-12-16 15:55:57.983193276,Payroll,Expense,13833.37,Transaction for Payroll,Engineering
2023-12-22 19:09:34.789915964,Consulting Services,Revenue,42679.03,Transaction for Consulting Services,Engineering
2023-12-28 22:23:11.596638656,Cloud Infrastructure,Expense,6445.95,Transaction for Cloud Infrastructure,Engineering
2024-01-04 01:36:48.403361344,Consulting Services,Revenue,23999.91,Transaction for Consulting Services,Marketing
2024-01-10 04:50:25.210084032,Consulting Services,Revenue,17982.6,Transaction for Consulting Services,Engineering
2024-01-16 08:04:02.016806720,Cloud Infrastructure,Expense,617.43,Transaction for Cloud Infrastructure,Engineering
2024-01-22 11:17:38.823529412,Consulting Services,Revenue,18285.54,Transaction for Consulting Services,Sales
2024-01-28 14:31:15.630252100,Consulting Services,Revenue,35939.83,Transaction for Consulting Services,Engineering
2024-02-03 17:44:52.436974788,SaaS Subscriptions,Revenue,27425.51,Transaction for SaaS Subscriptions,Operations
2024-02-09 20:58:29.243697480,Cloud Infrastructure,Expense,2272.05,Transaction for Cloud Infrastructure,Engineering
2024-02-16 00:12:06.050420168,SaaS Subscriptions,Revenue,38350.57,Transaction for SaaS Subscriptions,Engineering
2024-02-22 03:25:42.857142856,SaaS Subscriptions,Revenue,24602.21,Transaction for SaaS Subscriptions,Executive
2024-02-28 06:39:19.663865544,SaaS Subscriptions,Revenue,38114.97,Transaction for SaaS Subscriptions,Marketing
2024-03-05 09:52:56.470588232,SaaS Subscriptions,Revenue,26739.64,Transaction for SaaS Subscriptions,Operations
2024-03-11 13:06:33.277310920,Consulting Services,Revenue,25846.45,Transaction for Consulting Services,Marketing
2024-03-17 16:20:10.084033616,SaaS Subscriptions,Revenue,6078.77,Transaction for SaaS Subscriptions,Operations
2024-03-23 19:33:46.890756304,SaaS Subscriptions,Revenue,8780.15,Transaction for SaaS Subscriptions,Sales
2024-03-29 22:47:23.697478992,SaaS Subscriptions,Revenue,43783.1,Transaction for SaaS Subscriptions,Marketing
2024-04-05 02:01:00.504201680,Cloud Infrastructure,Expense,4498.52,Transaction for Cloud Infrastructure,Operations
2024-04-11 05:14:37.310924368,Consulting Services,Revenue,44019.17,Transaction for Consulting Services,Operations
2024-04-17 08:28:14.117647056,SaaS Subscriptions,Revenue,24638.2,Transaction for SaaS Subscriptions,Executive
2024-04-23 11:41:50.924369744,SaaS Subscriptions,Revenue,7406.82,Transaction for SaaS Subscriptions,Marketing
2024-04-29 14:55:27.731092432,Cloud Infrastructure,Expense,2237.79,Transaction for Cloud Infrastructure,Executive
2024-05-05 18:09:04.537815128,SaaS Subscriptions,Revenue,10585.59,Transaction for SaaS Subscriptions,Executive
2024-05-11 21:22:41.344537816,Hardware,Expense,16698.65,Transaction for Hardware,Sales
2024-05-18 00:36:18.151260504,Office & Legal,Expense,7747.63,Transaction for Office & Legal,Engineering
2024-05-24 03:49:54.957983192,Cloud Infrastructure,Expense,7420.1,Transaction for Cloud Infrastructure,Operations
2024-05-30 07:03:31.764705880,Hardware,Expense,5981.11,Transaction for Hardware,Executive
2024-06-05 10:17:08.571428568,Payroll,Expense,3073.58,Transaction for Payroll,Sales
2024-06-11 13:30:45.378151256,Payroll,Expense,9037.4,Transaction for Payroll,Sales
2024-06-17 16:44:22.184873952,Marketing,Expense,2775.84,Transaction for Marketing,Executive
2024-06-23 19:57:58.991596640,Consulting Services,Revenue,37843.39,Transaction for Consulting Services,Engineering
2024-06-29 23:11:35.798319328,Marketing,Expense,6981.95,Transaction for Marketing,Sales
2024-07-06 02:25:12.605042016,SaaS Subscriptions,Revenue,17803.96,Transaction for SaaS Subscriptions,Marketing
2024-07-12 05:38:49.411764704,Consulting Services,Revenue,22119.28,Transaction for Consulting Services,Executive
2024-07-18 08:52:26.218487392,Hardware,Expense,8272.23,Transaction for Hardware,Sales
2024-07-24 12:06:03.025210080,Consulting Services,Revenue,44776.32,Transaction for Consulting Services,Sales
2024-07-30 15:19:39.831932768,SaaS Subscriptions,Revenue,25224.08,Transaction for SaaS Subscriptions,Marketing
2024-08-05 18:33:16.638655464,Cloud Infrastructure,Expense,2043.53,Transaction for Cloud Infrastructure,Executive
2024-08-11 21:46:53.445378152,SaaS Subscriptions,Revenue,27899.16,Transaction for SaaS Subscriptions,Engineering
2024-08-18 01:00:30.252100840,SaaS Subscriptions,Revenue,8093.92,Transaction for SaaS Subscriptions,Sales
2024-08-24 04:14:07.058823528,SaaS Subscriptions,Revenue,2845.79,Transaction for SaaS Subscriptions,Engineering
2024-08-30 07:27:43.865546216,Marketing,Expense,17487.99,Transaction for Marketing,Operations
2024-09-05 10:41:20.672268904,SaaS Subscriptions,Revenue,35148.94,Transaction for SaaS Subscriptions,Sales
2024-09-11 13:54:57.478991592,Consulting Services,Revenue,44134.74,Transaction for Consulting Services,Engineering
2024-09-17 17:08:34.285714288,Office & Legal,Expense,8862.87,Transaction for Office & Legal,Marketing
2024-09-23 20:22:11.092436976,Cloud Infrastructure,Expense,9814.51,Transaction for Cloud Infrastructure,Executive
2024-09-29 23:35:47.899159664,Hardware,Expense,3445.9,Transaction for Hardware,Sales
2024-10-06 02:49:24.705882352,Hardware,Expense,4820.88,Transaction for Hardware,Sales
2024-10-12 06:03:01.512605040,SaaS Subscriptions,Revenue,37976.89,Transaction for SaaS Subscriptions,Operations
2024-10-18 09:16:38.319327728,Consulting Services,Revenue,16994.08,Transaction for Consulting Services,Marketing
2024-10-24 12:30:15.126050416,Office & Legal,Expense,14969.26,Transaction for Office & Legal,Sales
2024-10-30 15:43:51.932773104,Marketing,Expense,12907.74,Transaction for Marketing,Executive
2024-11-05 18:57:28.739495800,SaaS Subscriptions,Revenue,9206.94,Transaction for SaaS Subscriptions,Operations
2024-11-11 22:11:05.546218488,Office & Legal,Expense,9380.31,Transaction for Office & Legal,Engineering
2024-11-18 01:24:42.352941176,SaaS Subscriptions,Revenue,30966.35,Transaction for SaaS Subscriptions,Engineering
2024-11-24 04:38:19.159663864,Office & Legal,Expense,4613.15,Transaction for Office & Legal,Sales
2024-11-30 07:51:55.966386552,Marketing,Expense,15037.05,Transaction for Marketing,Sales
2024-12-06 11:05:32.773109240,SaaS Subscriptions,Revenue,25200.0,Transaction for SaaS Subscriptions,Operations
2024-12-12 14:19:09.579831928,Consulting Services,Revenue,8688.03,Transaction for Consulting Services,Sales
2024-12-18 17:32:46.386554624,Payroll,Expense,10702.23,Transaction for Payroll,Operations
2024-12-24 20:46:23.193277312,SaaS Subscriptions,Revenue,44987.55,Transaction for SaaS Subscriptions,Engineering
2024-12-31 00:00:00.000000000,SaaS Subscriptions,Revenue,8047.68,Transaction for SaaS Subscriptions,Sales
